OTUID	T00C01	T00C02	T00C03	T00C04	T00C05	T00C06	T00C07	T00C08	T00C09	T00C10	T00C11	T00C12	T00C13	T00C14	T00C15	T00C16	T00C17	T00C18	T00C19	T00C20	T05C01	T05C02	T05C03	T05C04	T05C05	T05C06	T05C07	T05C08	T05C09	T05C10	T05C11	T05C12	T05C13	T05C14	T05C15	T05C16	T05C17	T05C18	T05C19	T05C20	T12C01	T12C02	T12C03	T12C04	T12C05	T12C06	T12C07	T12C08	T12C09	T12C10	T12C11	T12C12	T12C13	T12C14	T12C15	T12C16	T12C17	T12C18	T12C19	T12C20	T21C01	T21C02	T21C03	T21C04	T21C05	T21C06	T21C07	T21C08	T21C09	T21C10	T21C11	T21C12	T21C13	T21C14	T21C15	T21C16	T21C17	T21C18	T21C19	T21C20	T30C01	T30C02	T30C03	T30C04	T30C05	T30C06	T30C07	T30C08	T30C09	T30C10	T30C11	T30C12	T30C13	T30C14	T30C15	T30C16	T30C17	T30C18	T30C19	T30C20
OTU3047	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3048	0	1	0	2	1	1	0	1	2	0	1	1	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3050	1	2	0	2	3	1	3	0	0	1	0	2	1	3	1	2	0	0	4	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3051	5	5	0	12	11	4	9	6	2	5	2	4	1	2	5	6	1	16	9	2	0	0	0	2	2	2	4	0	2	5	4	2	2	2	1	2	1	0	1	0	0	0	4	3	4	1	4	2	1	1	2	3	1	3	3	7	0	1	0	1	2	0	0	2	1	2	2	1	3	0	0	0	0	1	0	0	1	1	0	3	3	0	0	1	0	0	2	6	0	0	1	2	1	0	0	0	2	0	4	0
OTU3052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	1	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3056	1	3	0	2	0	0	0	1	0	3	0	0	2	0	4	1	0	2	1	0	1	0	0	0	1	0	4	2	0	3	1	0	0	0	1	1	1	0	0	0	0	0	2	0	1	0	1	1	1	2	1	1	1	0	1	0	0	3	1	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3057	5	1	1	5	1	3	5	3	4	2	5	4	1	3	5	5	1	6	3	3	0	0	1	0	1	0	1	0	0	2	1	1	2	1	0	0	1	0	1	0	1	0	0	3	1	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	2	0	0	1	2	0	0	2	0	1	2	0	0	0	0	0	0	1	0	1	1	1	2	1
OTU3059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	2	2	0	1	1	0	0	1	1	1	0	0	0	0	3	2	2	1	1	1	2	0	2	0	2	0	0	6	2	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	3	0	0	0	0	0	2	0	0	1	0	1	0	2	2	1	0	0	0	0	0	0	1	0	1	1
OTU3060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	2	1	0	1	0	0	0	0	1	1	0	2	1	0	0	0	0	1	1	1	2	1	0	1	1	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0
OTU3061	3	6	6	6	5	4	3	1	4	10	2	8	1	5	5	6	2	3	13	4	0	0	0	0	1	3	1	0	2	0	1	0	2	0	0	0	1	0	2	0	1	0	1	1	2	3	1	0	0	1	3	1	1	1	1	4	0	1	3	0	2	3	0	0	0	1	2	0	2	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	2	3	2	0	0	2	2	2	1	0	0	3	2	3	1
