from	to	type
OTU4812	OTU8285	0.9693595
OTU4187	OTU4670	0.9610884
OTU4613	OTU4759	0.958866
OTU3135	OTU4187	0.9582883
OTU4803	OTU8657	0.9637289
OTU4187	OTU4702	0.9580261
OTU3062	OTU4187	0.9542753
OTU3282	OTU5475	0.9505825
OTU2866	OTU8538	0.9482008
OTU8195	OTU8657	0.9527886
OTU8657	OTU8804	0.9444145
OTU4759	OTU7900	0.943561
OTU3282	OTU4187	0.9434773
OTU4132	OTU4803	0.948208
OTU7092	OTU8657	0.9496655
OTU4132	OTU442	0.9483819
OTU4759	OTU8285	0.962762
OTU2788	OTU4187	0.9386668
OTU6680	OTU8657	0.947918
OTU3806	OTU3992	0.9359234
OTU3316	OTU4187	0.935313
OTU4759	OTU4774	0.9349067
OTU4759	OTU4812	0.9495256
OTU2179	OTU2198	0.9311617
OTU2506	OTU3806	0.9298055
OTU3294	OTU4865	0.9291069
OTU1119	OTU2086	0.9286361
OTU3806	OTU8275	0.9483478
OTU3806	OTU7644	0.9566213
OTU7083	OTU8804	0.930524
OTU1945	OTU6480	0.9237697
OTU2086	OTU791	0.9261758
OTU1119	OTU1936	0.9230938
OTU2179	OTU3638	0.9228988
OTU4132	OTU6594	0.9636045
OTU5653	OTU5783	0.9225287
OTU6594	OTU8657	0.9389839
OTU4803	OTU4838	0.9210675
OTU5576	OTU8657	0.9375979
OTU1874	OTU3806	0.9194589
OTU3536	OTU7825	0.9191581
OTU8678	OTU8876	0.9186395
OTU1605	OTU2283	0.9185179
OTU2340	OTU4793	0.9167793
OTU3806	OTU8678	0.9639348
OTU4759	OTU6750	0.9164291
OTU4132	OTU7092	0.9524943
OTU7083	OTU7092	0.9151572
OTU6594	OTU7083	0.9149981
OTU3092	OTU4233	0.9149919
OTU4759	OTU6769	0.9209685
OTU4884	OTU6780	0.9273897
OTU110	OTU2198	0.9147734
OTU2824	OTU5455	0.9140892
OTU7083	OTU8876	0.9691338
OTU3806	OTU3987	0.9132831
OTU2824	OTU2866	0.9132347
OTU6749	OTU6769	0.9123947
OTU110	OTU6042	0.9122612
OTU2283	OTU7092	0.9185219
OTU4759	OTU7947	0.9173566
OTU4501	OTU4774	0.9119112
OTU2086	OTU8318	0.9128746
OTU3984	OTU8976	0.909751
OTU2086	OTU2770	0.9094724
OTU5465	OTU5570	0.9086743
OTU4788	OTU4865	0.9069727
OTU2283	OTU6594	0.9220397
OTU2283	OTU4803	0.9118499
OTU4187	OTU6587	0.9113413
OTU2765	OTU4187	0.9046511
OTU3806	OTU5783	0.958242
OTU2847	OTU4865	0.9037135
OTU4187	OTU4192	0.9031726
OTU3536	OTU7115	0.9029233
OTU3536	OTU7907	0.9025031
OTU1936	OTU791	0.9072176
OTU4544	OTU4865	0.9017007
OTU6520	OTU6609	0.9000991
OTU1280	OTU8055	0.9000027
OTU373	OTU8657	0.9247338
OTU3092	OTU6780	0.8996465
OTU409	OTU8976	0.8994523
OTU2756	OTU3806	0.8981347
