TaxLevel	Taxs	P.adj	Diff	Cmean	Mmean	Groups	Log2Change
Family	f_Fusobacteriaceae	0.154180441433151	2.1138629831676	19.0332177397126	23.9306498509675	T05C_vs_T05M	-0.33
Family	f_Vibrionaceae	0.000172157605388531	17.3535211858295	10.6876883133531	18.3465014913242	T05C_vs_T05M	-0.78
Family	f_Bacteroidaceae	0.161667144728586	2.03711196696938	9.17183575897186	11.9436219377779	T05C_vs_T05M	-0.381
Family	f_Acidaminococcaceae	1.90877561896241e-13	122.41624958542	2.00039655618515	12.8078498702114	T05C_vs_T05M	-2.679
Family	f_Lachnospiraceae	5.76825426692817e-11	81.1029063728255	3.9798434241462	10.3873453863685	T05C_vs_T05M	-1.384
Family	f_Flavobacteriaceae	0.0134312119619268	6.72412570203426	2.80566792765314	4.17370095029031	T05C_vs_T05M	-0.573
Family	f_Desulfobacteraceae	0.00604873317787332	8.45463414743476	0.0831654979079913	0.0467842854654528	T05C_vs_T05M	0.829
Family	f_Spirochaetaceae	0.181747186992544	1.85044345765027	3.53191569693073	2.54333327611597	T05C_vs_T05M	0.474
Family	f_Marinifilaceae	2.94985201321498e-13	118.810550016095	10.5171996548656	0.403248356745659	T05C_vs_T05M	4.705
Family	f_norank_o_Peptostreptococcales-Tissierellales	6.9843776958157e-15	152.69727451374	3.25496263196704	0.0257430376444704	T05C_vs_T05M	6.977
Family	f_unclassified_c_Bacteroidia	2.68298418382139e-07	38.9163579597402	0.174890562335474	0.0144257952491232	T05C_vs_T05M	3.591
Family	f_Dethiosulfatibacteraceae	0.0403959130095316	4.50380853150128	0.507323260222227	0	T05C_vs_T05M	12.309
Family	f_Desulfovibrionaceae	4.37311252917104e-11	82.8315799407006	3.96313692069973	0	T05C_vs_T05M	15.274
Family	f_Prolixibacteraceae	2.90551040950517e-16	187.22745722023	9.46452497228234	0.679348675335229	T05C_vs_T05M	3.8
Family	f_Clostridiaceae	1.21376891866577e-08	52.2343599174152	4.52155834797166	0.388916608184837	T05C_vs_T05M	3.539
Family	f_norank_o_Actinomarinales	0.23558466838612	1.45246457296209	1.06715391508855	1.25718964151044	T05C_vs_T05M	-0.236
Family	f_Marinilabiliaceae	6.15936727022745e-05	20.2897057613506	0.43334981211609	0.0415557014178654	T05C_vs_T05M	3.379
Family	f_Woeseiaceae	0.0837418495809821	3.15416355756262	1.01565682962059	1.29109638748548	T05C_vs_T05M	-0.346
Family	f_Izemoplasmataceae	0.00501680559504854	8.87456289555815	0.0436180241946244	0.0807649173726485	T05C_vs_T05M	-0.887
Family	f_Desulfocapsaceae	0.115803264471257	2.59021366050713	0.749882192602509	0.971718237142392	T05C_vs_T05M	-0.374
Family	f_Synergistaceae	2.51235350347643e-08	48.9041143743906	0.0614428093327393	0	T05C_vs_T05M	9.265
Family	f_Rhodobacteraceae	0.000293117744057194	15.8995846794829	0.384849132927862	0.724934728244504	T05C_vs_T05M	-0.913
Family	f_Nitrincolaceae	0.0173871589084049	6.18552660924323	0.215417540791421	0.338951671222563	T05C_vs_T05M	-0.654
Family	f_Peptostreptococcaceae	2.74927958595023e-09	59.4456430823247	0.743398891389135	0.0370746848500907	T05C_vs_T05M	4.322
Family	f_Anaerovoracaceae	7.48037745416606e-17	203.817793555403	1.31320923689852	0.0108837371278865	T05C_vs_T05M	6.902
Family	f_MSBL8	0.086476452075204	3.09718524575959	0.00424542130516373	0.00189010967275696	T05C_vs_T05M	1.127
Family	f_Ilumatobacteraceae	0.0287437268628792	5.16805235177267	0.378491513865332	0.539942916768713	T05C_vs_T05M	-0.512
Family	f_norank_o_JGI_0000069-P22	4.04774371522633e-05	21.5386690496386	0.0225908674414794	0.00330378815813656	T05C_vs_T05M	2.737
Family	f_Desulfosarcinaceae	0.0335042786145501	4.86638565194925	0.368394341613691	0.505197796293847	T05C_vs_T05M	-0.455
Family	f_Shewanellaceae	0.000312573298405275	15.7270087174664	0.479017976176086	1.03207310394056	T05C_vs_T05M	-1.107
Family	f_Microtrichaceae	0.320325176680566	1.01396028436099	0.29642772370155	0.346653765046593	T05C_vs_T05M	-0.226
Family	f_Sandaracinaceae	0.009861092681429	7.38268138107882	0.386656958941417	0.248101205031917	T05C_vs_T05M	0.64
Family	f_Desulfobulbaceae	0.0165064441992039	6.29311712523871	0.105408532605951	0.0611674368409233	T05C_vs_T05M	0.784
Family	f_unclassified_o_Peptostreptococcales-Tissierellales	7.44118259263969e-11	79.53523426733	0.595513632909853	0.0493686651514419	T05C_vs_T05M	3.59
Family	f_unclassified_o_Gammaproteobacteria_Incertae_Sedis	0.00291226039340192	10.1255681487682	0.164620577375412	0.271346187764586	T05C_vs_T05M	-0.721
Family	f_norank_o_norank_c_KD4-96	0.808066928639423	0.0598388574342488	0.243663314655233	0.230809075764957	T05C_vs_T05M	0.078
Family	f_Halieaceae	9.42477635339127e-05	19.0538556859082	0.197130977321187	0.369388748733951	T05C_vs_T05M	-0.906
Family	f_Bacteroidetes_BD2-2	0.749120203258009	0.103767349617843	0.165574887657032	0.174533424389597	T05C_vs_T05M	-0.076
Family	f_norank_o_Desulfitobacteriales	1.54633982587587e-05	24.5138510926448	0.224814122074275	0	T05C_vs_T05M	11.135
Family	f_Thermoanaerobaculaceae	0.0259459435396631	5.37188710057807	0.168352748778049	0.232381713284888	T05C_vs_T05M	-0.465
Family	f_Paludibacteraceae	0.00527351800422009	8.76201084543949	1.24365815863391	0.0700670120372372	T05C_vs_T05M	4.148
Family	f_Saprospiraceae	0.00061798072825397	13.9359201064744	0.129418361843831	0.23433989839187	T05C_vs_T05M	-0.856
Family	f_norank_o_Saccharimonadales	0.00125102584029664	12.1574623388931	0.120242296500956	0.215171537428675	T05C_vs_T05M	-0.839
Family	f_Fusibacteraceae	0.494233789670557	0.476439996324838	0.225929512666614	0.271227213295985	T05C_vs_T05M	-0.264
Family	f_unclassified_o_Sphingobacteriales	2.44824556753387e-09	60.0331131763564	0.234831847231192	0.00142077835652353	T05C_vs_T05M	7.271
Family	f_Coriobacteriales_Incertae_Sedis	0.291910397419827	1.14229541900424	0	0.362590447432542	T05C_vs_T05M	-11.825
Family	f_norank_o_norank_c_norank_p_Latescibacterota	0.0105701172917208	7.23338911037333	0.116074400892079	0.190197094360607	T05C_vs_T05M	-0.712
Family	f_unclassified_c_Clostridia	0.0239864020470395	5.52940442912766	0.00567168400583085	0.00141217260840496	T05C_vs_T05M	1.932
Family	f_norank_o_norank_c_norank_p_Marinimicrobia_SAR406_clade	0.764103331555292	0.0913601523746062	0.00660845402905054	0.00591038166642169	T05C_vs_T05M	0.159
Family	f_norank_o_B2M28	0.773344938273301	0.0841366259050765	0.0987219208707778	0.103221012854042	T05C_vs_T05M	-0.064
Family	f_Nocardiaceae	0.172809907017537	1.93033406319473	0.0216844752156285	0.0160471184482948	T05C_vs_T05M	0.432
Family	f_Cyclobacteriaceae	0.0893711513657894	3.03903931187987	0.109689843648835	0.147159804215122	T05C_vs_T05M	-0.424
Family	f_Anaerolineaceae	0.129891319040238	2.39656068366761	0.0630311952452563	0.0943202721801688	T05C_vs_T05M	-0.581
Family	f_norank_o_Chloroplast	0.000613687583508146	13.9538771754667	0.0424464002769965	0.111613382897036	T05C_vs_T05M	-1.393
Family	f_unclassified_c_Gammaproteobacteria	0.522274657798012	0.417088232722314	0.0735533639313241	0.0810194242799842	T05C_vs_T05M	-0.139
Family	f_unclassified_k_norank_d_Bacteria	0.789737707877308	0.0721127011894143	0.0360644833011332	0.0380397156061464	T05C_vs_T05M	-0.077
Family	f_norank_o_norank_c_PAUC43f_marine_benthic_group	0.252609700967508	1.34950452823676	0.0881403908965349	0.103447088822305	T05C_vs_T05M	-0.231
Family	f_Hungateiclostridiaceae	0.832190003344502	0.0455207123369256	0.0793121793813922	0.0837005937407363	T05C_vs_T05M	-0.078
Family	f_Sedimentibacteraceae	0.00354013175945115	9.67135539680106	0.0309359551505957	0	T05C_vs_T05M	8.278
Family	f_Peptococcaceae	3.18974709047812e-07	38.2351543153624	0.462779745982498	0.00284254554038884	T05C_vs_T05M	7.297
Family	f_unclassified_o_Bacteroidales	1.90837026105079e-11	88.1624789202603	0.369422838618557	0.0273631698876286	T05C_vs_T05M	3.75
Family	f_Moritellaceae	1.57456025317429e-05	24.4564627568323	0.101601795372113	0.194147530469652	T05C_vs_T05M	-0.934
Family	f_norank_o_norank_c_norank_p_NB1-j	2.280941251531e-06	30.9197554947513	0.0395987960981295	0.107949077815607	T05C_vs_T05M	-1.445
Family	f_Arcobacteraceae	0.0567021307443052	3.86298865747068	0.0818788668450384	0.0463027066913134	T05C_vs_T05M	0.821
Family	f_unclassified_c_Alphaproteobacteria	0.0899508052283856	3.02765084696429	0.0629700209315795	0.0212597712438332	T05C_vs_T05M	1.562
Family	f_norank_o_norank_c_Subgroup_22	0.000146278704215434	17.8075183127048	0.0639027767854019	0.120638955561641	T05C_vs_T05M	-0.916
Family	f_Leptospiraceae	3.5269436013999e-06	29.4016355388097	0.00376603139082673	0.0203114073602911	T05C_vs_T05M	-2.4
Family	f_Melioribacteraceae	0.589644011913192	0.295896589045158	0.0743199378524504	0.0819532417123752	T05C_vs_T05M	-0.141
Family	f_Sulfurovaceae	0.871469711818831	0.0265325301141576	0.0422286112331067	0.0403553981873581	T05C_vs_T05M	0.065
Family	f_Lentimicrobiaceae	0.340229317074032	0.932854119472512	0.0568119575648728	0.0468082465455354	T05C_vs_T05M	0.279
Family	f_Caldilineaceae	0.000417147066701913	14.959909724488	0.0410370042571662	0.0918794658054971	T05C_vs_T05M	-1.161
Family	f_Rhizobiaceae	0.00934263109148618	7.4993269574496	0.0232883400360691	0.0443696847707454	T05C_vs_T05M	-0.927
Family	f_norank_o_Candidatus_Falkowbacteria	0.0145980472512288	6.54915028956971	0.0207622995584471	0.0363912614752924	T05C_vs_T05M	-0.807
Family	f_norank_o_Bacteroidetes_VC2.1_Bac22	0.0341479343613368	4.82921582325829	0.0344216016419365	0.0517273279094349	T05C_vs_T05M	-0.586
Family	f_Oscillospiraceae	1.81140816859096e-10	74.2213839913264	0.420088113327077	0	T05C_vs_T05M	12.037
Family	f_Christensenellaceae	0.0018078506851927	11.2589095368093	0.0214853729011025	0.0465389238022728	T05C_vs_T05M	-1.111
Family	f_GoM-GC232-4463-Bac1	0.000492639454254068	14.5236271348426	0.0449136402878778	0	T05C_vs_T05M	8.814
Family	f_norank_o_Subgroup_17	0.289219457642504	1.15530306027092	0.0545146616868689	0.0670668328975732	T05C_vs_T05M	-0.298
Family	f_norank_o_BD7-8	0.109314921075657	2.68871698136539	0.042406822484819	0.0538348797955366	T05C_vs_T05M	-0.344
Family	f_Rhodothermaceae	0.226628334465057	1.5104408190938	0.0478453203739521	0.0585673573406576	T05C_vs_T05M	-0.291
